group1,group2,n1,n2,mean1,mean2,median1,median2,mean_diff,mann_whitney_u,mann_whitney_p,cliffs_delta,holm_corrected_p
Cycle Researcher,Data-to-Paper,15,15,2.0,1.8666666666666667,2.0,2.0,0.1333333333333333,127.5,0.1641432724434212,0.13333333333333333,0.8974715082443367
Cycle Researcher,FARS,15,14,2.0,2.142857142857143,2.0,2.0,-0.1428571428571428,90.0,0.14957858470738947,-0.14285714285714285,0.8974715082443367
Cycle Researcher,Sakana v1,15,15,2.0,1.8666666666666667,2.0,2.0,0.1333333333333333,127.5,0.1641432724434212,0.13333333333333333,0.8974715082443367
Cycle Researcher,Sakana v2,15,15,2.0,1.6666666666666667,2.0,2.0,0.33333333333333326,150.0,0.017491599749621257,0.3333333333333333,0.1574243977465913
Data-to-Paper,FARS,15,14,1.8666666666666667,2.142857142857143,2.0,2.0,-0.2761904761904761,78.0,0.05361059973826662,-0.2571428571428571,0.428884797906133
Data-to-Paper,Sakana v1,15,15,1.8666666666666667,1.8666666666666667,2.0,2.0,0.0,112.5,1.0,0.0,1.0
Data-to-Paper,Sakana v2,15,15,1.8666666666666667,1.6666666666666667,2.0,2.0,0.19999999999999996,135.0,0.21315479950448646,0.2,0.8974715082443367
FARS,Sakana v1,14,15,2.142857142857143,1.8666666666666667,2.0,2.0,0.2761904761904761,132.0,0.05361059973826662,0.2571428571428571,0.428884797906133
FARS,Sakana v2,14,15,2.142857142857143,1.6666666666666667,2.0,2.0,0.47619047619047605,150.0,0.009363346500639094,0.42857142857142855,0.09363346500639094
Sakana v1,Sakana v2,15,15,1.8666666666666667,1.6666666666666667,2.0,2.0,0.19999999999999996,135.0,0.21315479950448646,0.2,0.8974715082443367
