proposal,title,Cycle Researcher_scores,Data-to-Paper_scores,FARS_scores,Sakana v1_scores,Sakana v2_scores
FA0001,Canary Control for Emergent Misalignment,2/1/1/1,2/1/1/1,2/2/3/2,2/1/1/1,2/1/1/1
FA0005,Mechanistic Interpretability via Sparse Autoencoders,2/1/1/1,2/1/1/1,2/3/3/3,2/1/1/1,2/1/1/1
FA0006,Web-Agent Evaluation with Evidence-Based Judging,2/1/1/1,1/1/1/1,3/4/3/3,2/1/1/1,2/1/1/1
FA0007,Subsegment Scanning for Padding Attacks,2/1/1/1,2/1/1/1,3/3/3/3,2/1/1/1,1/1/1/1
FA0013,Recurrent VLA Policy Stability Analysis,2/1/1/1,2/2/1/2,2/2/2/2,1/1/1/1,1/1/1/1
FA0015,Reward Model Overoptimization in Jailbreaks,2/1/1/1,1/1/1/1,2/2/2/2,2/1/1/1,2/1/1/1
FA0020,Code Execution Verification for Hallucination Reduction,2/1/1/1,2/1/1/1,2/2/2/2,2/1/1/1,2/1/1/1
FA0021,Concept Drift in Domain-Transfer Fine-tuning,2/1/1/1,2/1/1/1,2/2/2/2,2/1/1/1,2/1/1/1
FA0035,Uncertainty Calibration via Ensemble Disagreement,2/1/1/1,2/1/1/1,2/4/2/2,2/1/1/1,1/1/1/1
FA0042,Trojan Detection via Unlearning Analysis,2/1/1/1,2/1/1/1,3/3/3/3,2/1/1/1,2/1/1/1
FA0046,Watermark Detection for Copyright Attribution,2/1/1/1,2/1/1/1,2/2/2/2,2/1/1/1,1/1/1/1
FA0063,Adversarial Robustness via Curriculum Training,2/1/1/1,2/1/1/1,2/2/3/2,2/1/1/1,1/1/1/1
FA0067,Bias Mitigation via Paraphrased Data Augmentation,2/1/1/1,2/1/1/1,2/2/2/2,1/1/1/1,2/1/1/1
FA0077,Multimodal Vision-Language Alignment,2/1/1/1,2/1/1/1,2/3/2/2,2/1/1/1,2/1/1/1
FA0080,Faithfulness of Attention-Based Explanations,2/1/1/1,2/1/1/1,2/1/3/2,2/1/1/1,2/1/1/1
